"שם הרשת / העסק","קטגוריה","כרטיסים תומכים","הנחה מרבית %","פירוט הנחות לפי כרטיס","אתר אינטרנט","תנאים והגבלות"
"קבוצת פוקס (FOX)","אופנה והנעלה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף, כרטיס דיגיטלי נטען",20,"כרטיס בהצדעה זהב: 20% | כרטיס בהצדעה כסף: 15% | כרטיס דיגיטלי נטען: 17%","https://www.fox.co.il","כולל כפל מבצעים, תקף בכל רשתות הקבוצה (פוקס, פוקס הום, מנגו, אמריקן איגל). אינו תקף בחנויות עודפים ובאתרי סחר למעט טרמינל איקס בכרטיס דיגיטלי."
"שופרסל (שלי / דיל / אקספרס)","מזון, מסעדות ובתי קפה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",15,"כרטיס בהצדעה זהב: 15% | כרטיס בהצדעה כסף: 10%","https://www.shufersal.co.il","לא כולל מוצרי טבק ומוצרים בפיקוח ממשלתי. לא תקף ברכישה באתר שופרסל אונליין."
"סופר-פארם","פארם, יופי ובריאות","כרטיס בהצדעה זהב, כרטיס דיגיטלי נטען",17,"כרטיס בהצדעה זהב: 17% | כרטיס דיגיטלי נטען: 15%","https://shop.super-pharm.co.il","לא תקף על תרופות מרשם. לא תקף בסניפי נתב""ג."
"קסטרו (Castro)","אופנה והנעלה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף, כרטיס סגנון ופנאי",20,"כרטיס בהצדעה זהב: 20% | כרטיס בהצדעה כסף: 15% | כרטיס סגנון ופנאי: 18%","https://www.castro.com","כולל כפל מבצעים. לא תקף בחנויות עודפים ובאתר האינטרנט."
"ארומה אספרסו בר","מזון, מסעדות ובתי קפה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",20,"כרטיס בהצדעה זהב: 20% | כרטיס בהצדעה כסף: 15%","https://www.aroma.co.il","אינו תקף בסניפי נתב""ג ובמשלוחים."
"אייס (ACE) ואוטודיפו","בית, חשמל ועיצוב","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",18,"כרטיס בהצדעה זהב: 18% | כרטיס בהצדעה כסף: 12%","https://www.ace.co.il","לא תקף על מוצרי חשמל לבנים, מוצרי אלקטרוניקה כבדים, ורכישות באתר אונליין."
"סטימצקי","ספרים ופנאי","כרטיס בהצדעה זהב, כרטיס סגנון ופנאי",20,"כרטיס בהצדעה זהב: 20% | כרטיס סגנון ופנאי: 18%","https://www.steimatzky.co.il","לא כולל ספרי לימוד, עיתונים וכתבי עת. לא תקף בסניפי נתב""ג."
"רנואר (Renuar)","אופנה והנעלה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף, כרטיס סגנון ופנאי",22,"כרטיס בהצדעה זהב: 22% | כרטיס בהצדעה כסף: 17% | כרטיס סגנון ופנאי: 18%","https://www.renuar.co.il","כולל כפל מבצעים. לא תקף בחנויות עודפים."
"מקדונלד'ס ישראל","מזון, מסעדות ובתי קפה","כרטיס בהצדעה זהב, כרטיס דיגיטלי נטען",20,"כרטיס בהצדעה זהב: 20% | כרטיס דיגיטלי נטען: 15%","https://www.mcdonalds.co.il","אינו תקף במשלוחים ובסניפי נתב""ג."
"קרביץ (Kravitz)","ספרים ופנאי","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",17,"כרטיס בהצדעה זהב: 17% | כרטיס בהצדעה כסף: 12%","https://www.kravitz.co.il","לא כולל מוצרי אפל (Apple), מחשבים ניידים וקונסולות משחק."
"הום סנטר","בית, חשמל ועיצוב","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",18,"כרטיס בהצדעה זהב: 18% | כרטיס בהצדעה כסף: 14%","https://www.homecenter.co.il","אינו תקף ברכישות סיטונאיות, הובלות והרכבות."
"אופטיקנה (Opticana)","פארם, יופי ובריאות","כרטיס בהצדעה זהב, כרטיס סגנון ופנאי",25,"כרטיס בהצדעה זהב: 25% | כרטיס סגנון ופנאי: 20%","https://www.opticana.co.il","לא תקף על עדשות מגע ותמיסות במבצעי כמות."
"מגה בעיר / ביתן אונליין","מזון, מסעדות ובתי קפה","כרטיס בהצדעה זהב, כרטיס בהצדעה כסף",15,"כרטיס בהצדעה זהב: 15% | כרטיס בהצדעה כסף: 10%","https://www.ybitan.co.il","לא כולל סיגריות ומוצרים בפיקוח מחירים."
